text;relevance_sentence;type;stance;argument;abstract_number;;;;;;;;;;;;;;;;;;;;;;
The central question in research on linguistic relativity, or the Whorfian hypothesis, is whether people who speak different languages think differently.;1;1;1;-1;1;;;;;;;;;;;;;;;;;;;;;;
The recent resurgence of research on this question can be attributed, in part, to new insights about the ways in which language might impact thought.;-1;1;-1;-1;1;;;;;;;;;;;;;;;;;;;;;;
We identify seven categories of hypotheses about the possible effects of language on thought across a wide range of domains, including motion, color, spatial relations, number, and false belief understanding.;1;2;-1;-1;1;;;;;;;;;;;;;;;;;;;;;;
While we do not find support for the idea that language determines the basic categories of thought or that it overwrites preexisting conceptual distinctions, we do find support for the proposal that language can make some distinctions difficult to avoid, as well as for the proposal that language can augment certain types of thinking.;1;3;2;1;1;;;;;;;;;;;;;;;;;;;;;;
Further, we highlight recent evidence suggesting that language may induce a relatively schematic mode of thinking.;1;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;
Although the literature on linguistic relativity remains contentious, there is growing support for the view that language has a profound effect on thought;1;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;
"In evaluating the Linguistic Relativity Hypothesis, it is necessary to avoid using terms in such a way as to empty the Hypothesis of empirical content; it is also necessary to separate related but distinct issues.";1;1;1;-1;2;;;;;;;;;;;;;;;;;;;;;;
There is no reason to accept any strong version of the Hypothesis when this is understood to pertain to differences in cognition due to non-universal aspects of language structure.;1;1;2;-1;2;;;;;;;;;;;;;;;;;;;;;;
Generative grammarians have been led by their orientation and findings to reject the Hypothesis, but their ideas on the relation between language and thought have often been confused and burdened by gratuitous assumptions.;1;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;
It is argued that 'semantic representations', the semantic objects determined by linguistic principles, cannot be equated with the primary structures manipulated in cognition, termed 'conceptual structures';0;3;0;-1;2;;;;;;;;;;;;;;;;;;;;;;
It is further argued, with lexical and grammatical examples from various languages, that semantic representations are not universal, even granted essential uniformity of cognition for all speakers and the viability of an informal notion of semantic equivalence between sentences.;0;3;2;-1;2;;;;;;;;;;;;;;;;;;;;;;
"Semantic representations are not neutral characterizations of conceived situations; rather they portray situations through various 'images', so that the study of semantic representations cannot be divorced from the general problem of imagery and figurative language.";0;3;2;1;2;;;;;;;;;;;;;;;;;;;;;;
One kind of syntactic change involves reanalysis of semantic representations, shifting the image they embody from one type to another.;-1;3;1;-1;2;;;;;;;;;;;;;;;;;;;;;;
The linguistic relativity hypothesis, the proposal that the particular language we speak influences the way we think about reality, forms one part of the broader question of how language influences thought.;1;1;-1;-1;3;;;;;;;;;;;;;;;;;;;;;;
Despite long-standing historical interest in the hypothesis, there is relatively little empirical research directly addressing it.;-1;1;-1;-1;3;;;;;;;;;;;;;;;;;;;;;;
Existing empirical approaches are classified into three types.;-1;1;-1;-1;3;;;;;;;;;;;;;;;;;;;;;;
1. Structure-centered approaches begin with language differences and ask about their implications for thought.;0;1;-1;-1;3;;;;;;;;;;;;;;;;;;;;;;
2. Domain-centered approaches begin with experienced reality and ask how different languages encode it.;0;1;-1;-1;3;;;;;;;;;;;;;;;;;;;;;;
3. Behavior-centered approaches begin with some practical concern and seek an explanation in language.;0;1;-1;-1;3;;;;;;;;;;;;;;;;;;;;;;
These approaches are compared, and recent methodological improvements highlighted.;-1;2;-1;-1;3;;;;;;;;;;;;;;;;;;;;;;
Despite empirical advances, a theoretical account needs to articulate exactly how languages interpret experiences and how those interpretations influence thought.;1;3;1;1;3;;;;;;;;;;;;;;;;;;;;;;
This will entail integrating theory and data concerning both the general relation of language and thought and the shaping influence of specific discursive structures and practices.;1;3;2;1;3;;;;;;;;;;;;;;;;;;;;;;
The question of whether language affects our categorization of perceptual continua is of particular interest for the domain of color where constraints on categorization have been proposed both within the visual system and in the visual environment.;0;1;-1;-1;4;;;;;;;;;;;;;;;;;;;;;;
"Recent research (Roberson, Davies, & Davidoff, 2000; Roberson et al., in press) found substantial evidence of cognitive color differences between different language communities, but concerns remained as to how representative might be a tiny, extremely remote community.";0;1;1;1;4;;;;;;;;;;;;;;;;;;;;;;
The present study replicates and extends previous findings using additional paradigms among a larger community in a different visual environment.;-1;2;-1;-1;4;;;;;;;;;;;;;;;;;;;;;;
Adult semi-nomadic tribesmen in Southern Africa carried out similarity judgments, short-term memory and long-term learning tasks.;-1;2;-1;-1;4;;;;;;;;;;;;;;;;;;;;;;
They showed different cognitive organization of color to both English and another language with the five color terms.;0;3;2;1;4;;;;;;;;;;;;;;;;;;;;;;
Moreover, Categorical Perception effects were found to differ even between languages with broadly similar color categories.;0;3;2;1;4;;;;;;;;;;;;;;;;;;;;;;
The results provide further evidence of the tight relationship between language and cognition.;1;3;2;1;4;;;;;;;;;;;;;;;;;;;;;;
Does the language you speak affect how you think about the world?;1;1;-1;-1;5;;;;;;;;;;;;;;;;;;;;;;
This question is taken up in three experiments.;-1;2;-1;-1;5;;;;;;;;;;;;;;;;;;;;;;
English and Mandarin talk about time differently—English predominantly talks about time as if it were horizontal, while Mandarin also commonly describes time as vertical.;0;1;2;1;5;;;;;;;;;;;;;;;;;;;;;;
This difference between the two languages is reflected in the way their speakers think about time.;0;1;2;1;5;;;;;;;;;;;;;;;;;;;;;;
