text;ug_relevance_sentence;ug_type;ug_stance;ug_arg;ug_absract_number;;;;;;;;;;;;;;;
Universal Grammar (UG) is a suspect concept.;1;3;0;-1;1;;;;;;;;;;;;;;;
"There is little agreement on what exactly is in it; and the empirical evidence for it is very weak.";-1;1;0;1;1;;;;;;;;;;;;;;;
This paper critically examines a variety of arguments that have been put forward as evidence for UG, focussing on the three most powerful ones: universality (all human languages share a number of properties), convergence (all language learners converge on the same grammar in spite of the fact that they are exposed to different input), and poverty of the stimulus (children know things about language which they could not have learned from the input available to them).;1;2;1;1;1;;;;;;;;;;;;;;;
I argue that these arguments are based on premises which are either false or unsubstantiated.;-1;3;0;1;1;;;;;;;;;;;;;;;
Languages differ from each other in profound ways, and there are very few true universals, so the fundamental crosslinguistic fact that needs explaining is diversity, not universality.;0;1;0;1;1;;;;;;;;;;;;;;;
A number of recent studies have demonstrated the existence of considerable differences in adult native speakers’ knowledge of the grammar of their language, including aspects of inflectional morphology, passives, quantifiers, and a variety of more complex constructions, so learners do not in fact converge on the same grammar.;0;1;0;1;1;;;;;;;;;;;;;;;
"Finally, the poverty of the stimulus argument presupposes that children acquire linguistic representations of the kind postulated by generative grammarians; constructionist grammars such as those proposed by Tomasello, Goldberg and others can be learned from the input.";1;1;0;1;1;;;;;;;;;;;;;;;
We are the only species that has language, so there must be something unique about humans that makes language learning possible.;0;1;1;1;1;;;;;;;;;;;;;;;
The extent of crosslinguistic diversity and the considerable individual differences in the rate, style and outcome of acquisition suggest that it is more promising to think in terms of a language-making capacity, i.e., a set of domain-general abilities, rather than an innate body of knowledge about the structural properties of the target system.;0;3;0;1;1;;;;;;;;;;;;;;;
The idea of a biologically evolved, universal grammar with linguistic content is a myth, perpetuated by three spurious explanatory strategies of generative linguists.;1;3;0;1;2;;;;;;;;;;;;;;;
To make progress in understanding human linguistic competence, cognitive scientists must abandon the idea of an innate universal grammar and instead try to build theories that explain both linguistic universals and diversity and how they emerge.;1;3;0;1;2;;;;;;;;;;;;;;;
"In a recent paper [Lidz, J., Gleitman, H., & Gleitman, L. (2003). Understanding how input matters: Verb learning and the footprint of universal grammar. Cognition, 87, 151–178], we provided cross-linguistic evidence in favor of the following linked assertions: (i) Verb argument structure is a correlate of verb meaning; (ii) However, argument structure is not directly available to learners as a cue for reconstructing verb meaning, owing to the complexity of form-meaning mappings within and across languages; (iii) A major correlate of argument-structure, namely, noun phrase number, is statistically available on the surface in all languages, and serves as a quasi-universal derivative cue to the meanings of verbs; (iv) this cue is privileged, in the sense that it is used early and selectively by learners, despite within- and cross-language differences in its availability. ";0;1;2;1;3;;;;;;;;;;;;;;;
Goldberg [Goldberg, A. (2004). But do we need Universal Grammar? Comment on Lidz, Gleitman and Gleitman 2003. Cognition] suggests that this cue is not linguistic, that it is too sicklied over with exceptions and provisos to be useful to learners, and that conversational conspiracies can in any case serve as the alternative theoretical framework for a theory of predicate learning, and language acquisition more generally.;1;1;0;1;3;;;;;;;;;;;;;;;
