text;biling_sent_rel;biling_type;biling_stance;biling_arg;abstract_number;;;;;;
Bilingualism was once thought to result in cognitive disadvantages, but research in recent decades has demonstrated that experience with two (or more) languages confers a bilingual advantage in executive functions and may delay the incidence of Alzheimer’s disease.;1;1;2;1;1;;;;;;
However, conflicting evidence has emerged leading to questions concerning the robustness of the bilingual advantage for both executive functions and dementia incidence.;1;1;0;1;1;;;;;;
"Some investigators have failed to find evidence of a bilingual advantage; others have suggested that bilingual advantages may be entirely spurious, while proponents of the advantage case have continued to defend it.";1;1;0;1;1;;;;;;
A heated debate has ensued, and the field has now reached an impasse.;-1;1;1;-1;1;;;;;;
This review critically examines evidence for and against the bilingual advantage in executive functions, cognitive aging, and brain plasticity, before outlining how future research could shed light on this debate and advance knowledge of how experience with multiple languages affects cognition and the brain.;1;2;-1;-1;1;;;;;;
It is a widely held belief that bilinguals have an advantage over monolinguals in executive-control tasks, but is this what all studies actually demonstrate? ;1;1;1;1;2;;;;;;
The idea of a bilingual advantage may result from a publication bias favoring studies with positive results over studies with null or negative effects.;1;3;0;1;2;;;;;;
To test this hypothesis, we looked at conference abstracts from 1999 to 2012 on the topic of bilingualism and executive control.;1;2;-1;-1;2;;;;;;
We then determined which of the studies they reported were subsequently published.;-1;2;-1;-1;2;;;;;;
Studies with results fully supporting the bilingual-advantage theory were most likely to be published, followed by studies with mixed results.;1;3;0;1;2;;;;;;
Studies challenging the bilingual advantage were published the least.;1;3;0;1;2;;;;;;
This discrepancy was not due to differences in sample size, tests used, or statistical power.;-1;3;0;1;2;;;;;;
A test for funnel-plot asymmetry provided further evidence for the existence of a publication bias.;-1;3;0;1;2;;;;;;
Bilingual people are often claimed to have an advantage over monolingual people in cognitive processing owing to their ability to learn and use two languages.;1;1;2;1;3;;;;;;
This advantage is considered to be related to executive function (EF).;0;1;2;1;3;;;;;;
However, no consensus exists as to whether this advantage is present in the population or under which conditions it prevails.;0;1;0;1;3;;;;;;
"The present meta-analysis examines the bilingual advantage in EF of children aged 18 years and under for different components of inhibition (hot; rewarding stimuli/cold; neutral stimuli), attention, switching, monitoring, working memory, and planning in 143 independent group comparisons comprising 583 EF effect sizes.";1;2;-1;-1;3;;;;;;
The bilingual advantage in overall EF was significant, albeit marginal (g = 0.06), and there were indications of publication bias.;0;3;1;1;3;;;;;;
A moderator analysis showed significant group differences on EF in favor of bilinguals for studies of children from middle-class socioeconomic backgrounds and studies from one specific lab.;1;3;0;1;3;;;;;;
The EF components of cold inhibition, switching, and monitoring expressed significant bilingual advantages, but monitoring and cold inhibition were affected by publication bias.;1;3;1;1;3;;;;;;
As for switching, this remained significant after controlling for publication bias.;0;3;2;1;3;;;;;;
Thus, given the small mean effect size and small-study effects, this meta-analysis gives little support for a bilingual advantage on overall EF.;1;3;2;1;3;;;;;;
Still, also after the moderator analysis, there was a large heterogeneity of true effects and a large amount of unexplained heterogeneity in the effect sizes.;-1;3;0;1;3;;;;;;
Thus, there might be bilingual advantages (or disadvantages) under conditions that this study is not able to identify through the analysis of 12 moderators.;1;3;1;1;3;;;;;;
It has been postulated that bilingualism may act as a cognitive reserve and recent behavioral evidence shows that bilinguals are diagnosed with dementia about 4–5 years later compared to monolinguals.;1;1;2;1;4;;;;;;
In the present study, we investigated the neural basis of these putative protective effects in a group of aging bilinguals as compared to a matched monolingual control group.;1;2;-1;-1;4;;;;;;
For this purpose, participants completed the Erikson Flanker task and their performance was correlated to gray matter (GM) volume in order to investigate if cognitive performance predicts GM volume specifically in areas affected by aging.;-1;2;-1;-1;4;;;;;;
We performed an ex-Gaussian analysis on the resulting RTs and report that aging bilinguals performed better than aging monolinguals on the Flanker task.;1;3;2;1;4;;;;;;
Bilingualism was overall associated with increased GM in the ACC.;1;3;2;1;4;;;;;;
Likewise, aging induced effects upon performance correlated only for monolinguals to decreased gray matter in the DLPFC.;0;3;2;1;4;;;;;;
Taken together, these neural regions might underlie the benefits of bilingualism and act as a neural reserve that protects against the cognitive decline that occurs during aging.;1;3;2;1;4;;;;;;
A. Karmiloff-Smith’s (1990) task of drawing a nonexistent object is considered to be a measure of cognitive flexibility.;-1;-1;-1;-1;5;;;;;;
The notion of earlier emergence of cognitive flexibility in bilingual children motivated the current researchers to request 4- and 5-year-old English–Hebrew and Arabic–Hebrew bilingual children and their monolingual peers to draw a flower and a house that do not exist (N = 80).;1;1;2;1;5;;;;;;
Bilinguals exhibited a significantly higher rate of interrepresentational flexibility in their drawings (e.g., ‘‘a giraffe flower,’’ ‘‘a chair-house,’’ found in 28 of 54 drawings), whereas the level of complex intrarepresentational change was similar across groups.;1;3;1;1;5;;;;;;
Interrepresentational drawings were previously reported only for children older than 7 years.;-1;-1;-1;-1;5;;;;;;
The specific mechanisms by which bilinguals’ language experience may lead to interrepresentational flexibility are discussed.;1;3;1;1;5;;;;;;
Objectives: The purpose of the study was to determine the association between bilingualism and age at onset of dementia and its subtypes, taking into account potential confounding factors.;1;1;-1;-1;6;;;;;;
Methods: Case records of 648 patients with dementia (391 of them bilingual) diagnosed in a specialist clinic were reviewed.;1;2;-1;-1;6;;;;;;
The age at onset of first symptoms was compared between monolingual and bilingual groups.;1;2;-1;-1;6;;;;;;
The influence of number of languages spoken, education, occupation, and other potentially interacting variables was examined.;0;2;-1;-1;6;;;;;;
Results: Overall, bilingual patients developed dementia 4.5 years later than the monolingual ones.;1;3;2;1;6;;;;;;
A significant difference in age at onset was found across Alzheimer disease dementia as well as frontotemporal dementia and vascular dementia, and was also observed in illiterate patients.;0;3;2;1;6;;;;;;
There was no additional benefit to speaking more than 2 languages.;0;3;1;1;6;;;;;;
The bilingual effect on age at dementia onset was shown independently of other potential confounding factors such as education, sex, occupation, and urban vs rural dwelling of subjects.;1;3;2;1;6;;;;;;
Conclusions: This is the largest study so far documenting a delayed onset of dementia in bilingual patients and the first one to show it separately in different dementia subtypes.;1;3;2;1;6;;;;;;
It is the first study reporting a bilingual advantage in those who are illiterate, suggesting that education is not a sufficient explanation for the observed difference.;1;3;2;1;6;;;;;;
The findings are interpreted in the context of the bilingual advantages in attention and executive functions.;1;3;2;1;6;;;;;;
Background and Purpose — Bilingualism has been associated with slower cognitive aging and a later onset of dementia.;1;1;2;1;7;;;;;;
In this study, we aimed to determine whether bilingualism also influences cognitive outcome after stroke.;1;2;-1;-1;7;;;;;;
Methods — We examined 608 patients with ischemic stroke from a large stroke registry and studied the role of bilingualism in predicting poststroke cognitive impairment in the absence of dementia.;1;2;-1;-1;7;;;;;;
"Results — A larger proportion of bilinguals had normal cognition compared with monolinguals (40.5% versus 19.6%;P<0.0001), whereas the reverse was noted in patients with cognitive impairment, including vascular dementia and vascular mild cognitive impairment (monolinguals 77.7% versus bilinguals 49.0%; P<0.0009).";1;3;2;1;7;;;;;;
"There were no differences in the frequency of aphasia (monolinguals 11.8% versus bilinguals 10.5%; P=0.354).";1;3;0;1;7;;;;;;
Bilingualism was found to be an independent predictor of poststroke cognitive impairment.;1;3;2;1;7;;;;;;
Conclusions — Our results suggest that bilingualism leads to a better cognitive outcome after stroke, possibly by enhancing cognitive reserve.;1;3;2;1;7;;;;;;
Bilingualism has been found to delay onset of dementia and this has been attributed to an advantage in executive control in bilinguals.;1;1;2;1;8;;;;;;
However, the relationship between bilingualism and cognition is complex, with costs as well as benefits to language functions.;1;1;1;1;8;;;;;;
To further explore the cognitive consequences of bilingualism, the study used Frontotemporal dementia (FTD) syndromes, to examine whether bilingualism modifies the age at onset of behavioral and language variants of Frontotemporal dementia (FTD) differently.;1;2;-1;-1;8;;;;;;
Case records of 193 patients presenting with FTD (121 of them bilingual) were examined and the age at onset of the first symptoms were compared between monolinguals and bilinguals.;1;2;-1;-1;8;;;;;;
A significant effect of bilingualism delaying the age at onset of dementia was found in behavioral variant FTD (5.7 years) but not in progressive nonfluent aphasia (0.7 years), semantic dementia (0.5 years), corticobasal syndrome (0.4 years), progressive supranuclear palsy (4.3 years) and FTD-motor neuron disease (3 years).;1;3;2;1;8;;;;;;
On dividing all patients predominantly behavioral and predominantly aphasic groups, age at onset in the bilingual behavioral group (62.6) was over 6 years higher than in the monolingual patients (56.5, p=0.006), while there was no difference in the aphasic FTD group (60.9 vs. 60.6 years, p=0.851).;1;3;1;1;8;;;;;;
The bilingual effect on age of bvFTD onset was shown independently of other potential confounding factors such as education, gender, occupation, and urban vs rural dwelling of subjects.;1;3;2;1;8;;;;;;
To conclude, bilingualism delays the age at onset in the behavioral but not in the aphasic variants of FTD.;1;3;1;1;8;;;;;;
The results are in line with similar findings based on research in stroke and with the current views of the interaction between bilingualism and cognition, pointing to advantages in executive functions and disadvantages in lexical tasks.;1;3;1;1;8;;;;;;
Bilinguals have been shown to outperform monolinguals in a variety of tasks that do not tap into linguistic processes.;1;1;2;1;9;;;;;;
The origin of this bilingual advantage has been questioned in recent years.;1;1;1;1;9;;;;;;
While some authors argue that the reason behind this apparent advantage is bilinguals’ enhanced executive functioning, inhibitory skills and/or monitoring abilities, other authors suggest that the locus of these differences between bilinguals and monolinguals may lie in uncontrolled factors or incorrectly matched samples.;1;1;1;1;9;;;;;;
In the current study we tested a group of 180 bilingual children and a group of 180 carefully matched monolinguals in a child-friendly version of the ANT task.;1;2;-1;-1;9;;;;;;
Following recent evidence from similar studies with children, our results showed no bilingual advantage at all, given that the performance of the two groups in the task and the indices associated with the individual attention networks were highly similar and statistically indistinguishable.;1;3;0;1;9;;;;;;
Over the next fifty years, the number of older adults is set to reach record levels.;-1;1;-1;-1;10;;;;;;
Protecting older adults from the age-related effects of cognitive decline is one of the greatest challenges of the next few decades as it places increasing pressure on families, health systems, and economies on a global scale.;-1;1;-1;-1;10;;;;;;
The disease-state of age-related cognitive decline — Alzheimer's disease and other dementias — hijacks our consciousness and intellectual autonomy.;-1;1;-1;-1;10;;;;;;
However, there is evidence that cognitively stimulating activities protect against the adverse effects of cognitive decline.;-1;1;-1;-1;10;;;;;;
Similarly, bilingualism is also considered to be a safeguard.;1;1;2;1;10;;;;;;
We propose that foreign language learning programs aimed at older populations are an optimal solution for building cognitive reserve because language learning engages an extensive brain network that is known to overlap with the regions negatively affected by the aging process.;0;3;2;1;10;;;;;;
It is recommended that future research should test this potentially fruitful hypothesis.;-1;3;2;1;10;;;;;;
Numerous factors are thought to be advantageous for non-native language learning although they are typically investigated in isolation, and the interaction between them is not understood.;0;1;0;1;11;;;;;;
Firstly, bilinguals are claimed to acquire a third language easier than monolinguals acquire a second.;1;1;2;1;11;;;;;;
Secondly, closely related languages may be easier to learn.;0;1;-1;-1;11;;;;;;
Thirdly, certain phonetic features could be universally more difficult to acquire.;-1;1;-1;-1;11;;;;;;
We tested these hypotheses used as explanations by having adults learn vocabularies that differentiated words using foreign phonetic contrasts.;0;2;-1;-1;11;;;;;;
In Experiment 1, Mandarin–English bilinguals outlearned English monolinguals, and the Mandarin-like (retroflex) artificial language was better learned than the English-like (fricative voicing).;1;3;2;1;11;;;;;;
In Experiment 2, bilinguals again outlearned English monolinguals for the Mandarin-like artificial language.;1;3;2;1;11;;;;;;
However, only Korean–English bilinguals showed an advantage for the more difficult Korean-like (lenition) language.;1;3;1;1;11;;;;;;
Bilinguals, relative to monolinguals, show a general advantage when learning ‘easy’ contrasts, but phonetic similarity to the native language is useful for learning universally ‘difficult’ contrasts.;1;3;2;1;11;;;;;;
One of the great challenges facing humankind in the 21st century is preserving healthy brain function in our aging population.;-1;1;-1;-1;12;;;;;;
Individuals over 60 are the fastest growing age group in the world, and by 2050, it is estimated that the number of people over the age of 60 will triple.;-1;1;-1;-1;12;;;;;;
The typical aging process involves cognitive decline related to brain atrophy, especially in frontal brain areas and regions that subserve declarative memory, loss of synaptic connections, and the emergence of neuropathological symptoms associated with dementia.;-1;1;-1;-1;12;;;;;;
